Nr.;Formula;Name candidates;Contains formula name;Contains identifier names;Wikidata QID
1;H=\dot{a}/a;hubble, parameter, time, factor, equations;hubble parameter;factor;Q179916
2;p=\omega\rho;equation, state, quintessence, expansion, pressure;equation of state;pressure;Q214967
3;\omega=p/\rho;universe, accelerating, indefinitely, strain, values;accelerating universe;strain;Q1049613
4;p=-A/\rho^{\alpha};chaplygin, gas, dark, generalized, fluid;dark fluid;N/A;Q5223514
5;p_{d}=w\rho_{d};energy, dark, equation, represent, pressure;dark energy;pressure;Q18343
6;H={\dot{a}}/a;scale, factor, usual, equation, state;N/A;scale factor;Q179916
7;k=|{\bf k}|;oscillatory, behavior, depend, time, wavenumber;wavenumber;wavenumber;Q192510
8;f=e^{-\phi}R;string, lowenergy, effective, action, theory;N/A;N/A;N/A
9;p=\kappa\rho;equation, state, ary, patch, exceeds;equation of state;N/A;Q214967
10;w=p_{X}/\rho_{X};equation, state, dark, energy, wmap;equation of state;N/A;Q214967
11;\mu=m_{p}/m_{e};ratio, proton, electron, masses, technique;proton-to-electron mass ratio;masses;Q2912520
12;\phi_{c}=M/g;field, critical, value, takes;critical value;field;Q2189464
13;p=-\frac{A}{\rho^{\alpha}};state, generalized, chaplygin, gas, equation;chaplygin gas;N/A;Q5073250
14;p=\alpha\rho;constant, gas, cosmological, matter, polytropic;polytropic gas;N/A;Q831024
15;M=\widetilde{M}/\Gamma;multiply, connected, equally, quotient, manifolds;connected manifold;manifold;Q2721559
16;g(a)=\bigtriangleup(a)/a;models, dark, energy, growth, history;dark energy;growth;Q18343
17;\alpha=dn_{s}/d\ln{k};introduced, customary, notation, comoving, wavenumber;N/A;wavenumber;Q192510
18;\psi=-i\theta;real imaginary universe;N/A;N/A;N/A
19;dt=a(\eta)d\eta;time, related, cosmic, relation, overdot;N/A;time;Q11471
20;\Delta x_{min}=\sqrt{\beta};positive, constant, lower, bound, implies, dimensional;lower bound;constant;Q21067468
21;k^{i}=ap^{i};modes, comoving, obtained, scaling, coincide;modes;scaling;N/A
22;\varphi=\delta A_{\mu};note, valid, perturbations, gauge, theories;perturbations;perturbations;Q911364
23;h_{ab}=g_{ab}-n_{a}n_{b};bulk, scalar, curvature, induced, metric;metric;N/A;Q865746
24;K=K_{ab}h^{ab};vector, field, unit, normal, brane;brane;field;Q385601
25;v=\sqrt{|dp/d\rho|};equation, state, suggests, effective, velocity;equation of state;velocity;Q214967
26;Q=\sqrt{G}M;limit, rhoades, value, write;limit;N/A;Q246639
27;\zeta=H\delta\phi/\dot{\phi};curvature, perturbation, uniform, density, valid;N/A;perturbation;Q10886678
28;m_{\gamma}=e/\sqrt{\pi};photon, mass, gauge, mechanism, schwinger;photon mass;mass;Q3198
29;d\eta=dt/a(t);conformal, time, ase, figure, fig;conformal time;time;Q2482717
30;T_{g}=H_{o}t_{g};dimensionless, factor, eq, extragalactic, object;N/A;dimensionless factor;Q126818
31;{\cal H}=a^{\prime}/a;conformal, time, background, scale, factor;N/A;scale factor;Q179916
32;\theta=A\exp(-\zeta t);decreases, exponentially, slowly;exponential decrease;N/A;Q574576
33;p_{i}=\omega_{i}\rho_{i};case, expected, current, observations, restrict;N/A;N/A;N/A
34;i\partial_{t}\Phi=H\Phi;evolution, shrödinger;schrödinger evolution;N/A;Q165498
35;H(t)=\dot{a}/a;data, scale, function, combined, sn;N/A;scale function;Q179916
36;p_{\Lambda}=-\rho_{\Lambda};dark, contributions, matter, energy, matterdominated;dark energy;N/A;Q18343
37;P_{M}=w\rho_{M};pressure, write, related, equation, state;equation of state;pressure;Q214967
38;f_{\nu}=\rho_{\nu}/\rho_{d};matter, neutrino;neutrino;N/A;Q2126
39;A_{t}=rA_{s};fluctuation;fluctuation;N/A;Q5462624
40;p_{m}=\gamma\rho_{m};matter, components, universe, nonrelativistic, ordinary;nonrelativistic matter;N/A;Q55921784
41;\Omega_{i}=\rho_{i}/\rho_{c};universe, constant, rate, expansion, variables;expansion rate;constant;N/A
42;P(k)=Ak^{n};fluctuations, field, inflation, universe, inflationary;inflation;N/A;Q273508
43;L_{I}=M(\tau)\phi[x(\tau)];idea, quantitative, viewpoint, arises, study;N/A;N/A;N/A
44;L=\kappa h_{ab}T^{ab};standard coupling;N/A;N/A;N/A
45;w_{i}=P_{i}/\rho_{i};relative, contributions, components, equations, state;equation of state;N/A;Q214967
46;{\bar{M}}={B}/{C};minimum;N/A;N/A;N/A
47;\Psi=\Psi_{\ell}+\Psi_{s};split, dropped, note, long, short;N/A;N/A;N/A
48;z=a\dot{\phi}/H;quantity, equation;equation;quantity;Q21086835
49;u^{\mu}=dx^{\mu}/d\tau;cosmological, fundamental, observer, comoving, fluid;comoving fluid;N/A;Q5462744
50;\dot{\phi}=-W_{\phi};equation, firstorder, differential, scale, factor;firstorder differential equation;scale factor;Q11214
;;;36/50 = 72%;27/50 = 54%;41/50 = 82%
