Nr.;Formula;# Dupl;# Docs;# math2vec;# math_tfidf;# sem2vec;# sem_tfidf;Example;From
1;H=\dot{a}/a;32;32;0;0,1;0;0,9;H_{i}=\dot{R}/R;sem_tfidf
2;p=\omega\rho;6;5;0,29;0;0,14;0,57;p_{d}=w\rho_{d};sem2vec
3;\omega=p/\rho;4;3;0,67;0;0;0,33;p=\omega\rho;math2vec
4;p=-A/\rho^{\alpha};4;4;0,67;0;0,33;0;p=-\frac{A}{\rho^{\alpha}};math2vec
5;p_{d}=w\rho_{d};4;3;0,33;0;0,33;0,33;p_{X}=\omega_{X}\rho_{X};sem2vec
6;H={\dot{a}}/a;4;4;0,4;0,1;0,2;0,3;{\cal H}=a^{\prime}/a;math_tfidf
7;k=|{\bf k}|;3;3;0,83;0;0,17;0;k=|\vec{k}|;math2vec
8;f=e^{-\phi}R;3;2;1;0;0;0;f(\phi)=e^{-\phi}R;math2vec
9;p=\kappa\rho;3;2;0,33;0;0,67;0;p_{D}=w(z)\rho_{D};sem2vec
10;w=p_{X}/\rho_{X};3;3;0,62;0;0,12;0,25;p_{X}=w_{X}\rho_{X};math2vec
11;\mu=m_{p}/m_{e};3;3;1;0;0;0;m_{i}=\mu m_{p};math2vec
12;\phi_{c}=M/g;3;3;0;0;0;0;N/A;N/A
13;p=-\frac{A}{\rho^{\alpha}};3;3;0,8;0;0;0,2;p=-A\rho^{-\alpha};math2vec
14;p=\alpha\rho;3;2;0,67;0;0,17;0,17;w_{\alpha}=p_{\alpha}/\rho_{\alpha};sem_tfidf
15;M=\widetilde{M}/\Gamma;3;3;0;0;0;0;N/A;N/A
16;g(a)=\bigtriangleup(a)/a;3;2;1;0;0;0;g(a)=\Delta(a)/a;math2vec
17;\alpha=dn_{s}/d\ln{k};3;3;1;0;0;0;dn_{s}/d\ln k=\alpha_{s};math2vec
18;\psi=-i\theta;3;2;0;0;0;0;N/A;N/A
19;dt=a(\eta)d\eta;2;2;0,5;0;0,25;0,25;t=\int a(\eta)d\eta;sem_tfidf
20;\Delta x_{min}=\sqrt{\beta};2;2;1;0;0;0;\Delta x_{\rm min}=\hbar\sqrt{\beta};math2vec
21;k^{i}=ap^{i};2;2;0;0;0;0;N/A;N/A
22;\varphi=\delta A_{\mu};2;2;0;0;0;0;N/A;N/A
23;h_{ab}=g_{ab}-n_{a}n_{b};2;2;0;0;0;0;N/A;N/A
24;K=K_{ab}h^{ab};2;2;1;0;0;0;K=K_{\alpha\beta}h^{\alpha\beta};math2vec
25;v=\sqrt{|dp/d\rho|};2;2;1;0;0;0;v_{c}=\sqrt{dp_{c}/d\rho_{c}};math2vec
26;Q=\sqrt{G}M;2;2;0;0;0;0;N/A;N/A
27;\zeta=H\delta\phi/\dot{\phi};2;2;1;0;0;0;{\cal R}=(H/\dot{\phi})\delta\phi_{\psi};math2vec
28;m_{\gamma}=e/\sqrt{\pi};2;2;0;0;0;0;N/A;N/A
29;d\eta=dt/a(t);2;2;0,56;0;0,11;0,33;t=\int a(\eta)d\eta;sem_tfidf
30;T_{g}=H_{o}t_{g};2;2;0;0;0;0;N/A;N/A
31;{\cal H}=a^{\prime}/a;2;2;0,7;0;0,1;0,2;H={\dot{a}}/a;sem_tfidf
32;\theta=A\exp(-\zeta t);2;2;0;1;0;0;\psi(t,r)=\psi(r)\exp(-i\omega t);math_tfidf
33;p_{i}=\omega_{i}\rho_{i};2;2;0,71;0;0,14;0,14;w_{\rm X}=p_{\rm X}/\rho_{\rm X};sem2vec
34;i\partial_{t}\Phi=H\Phi;2;2;0;0;0;0;N/A;N/A
35;H(t)=\dot{a}/a;2;2;0,75;0,12;0;0,12;\dot{a}=aH;math2vec
36;p_{\Lambda}=-\rho_{\Lambda};2;2;1;0;0;0;p_{D}=-\rho_{D};math2vec
37;P_{M}=w\rho_{M};2;2;0,57;0;0,29;0,14;p_{x}=w\rho_{x};sem2vec
38;f_{\nu}=\rho_{\nu}/\rho_{d};2;2;0;0;0;0;N/A;N/A
39;A_{t}=rA_{s};2;2;0;0;0;0;N/A;N/A
40;p_{m}=\gamma\rho_{m};2;2;1;0;0;0;\gamma=p/\rho;math2vec
41;\Omega_{i}=\rho_{i}/\rho_{c};2;2;1;0;0;0;\Omega=\rho/\rho_{\rm crit};math2vec
42;P(k)=Ak^{n};2;2;0;0;0;0;N/A;N/A
43;L_{I}=M(\tau)\phi[x(\tau)];2;2;0;0;0;0;N/A;N/A
44;L=\kappa h_{ab}T^{ab};2;2;0;0;0;0;N/A;N/A
45;w_{i}=P_{i}/\rho_{i};2;2;0,67;0;0,22;0,11;w_{\alpha}=p_{\alpha}/\rho_{\alpha};sem_tfidf
46;{\bar{M}}={B}/{C};2;2;0,33;0;0,33;0,33;{\bar{M}}=\frac{B}{C};sem2vec
47;\Psi=\Psi_{\ell}+\Psi_{s};2;2;0;0;0;0;N/A;N/A
48;z=a\dot{\phi}/H;2;2;0,67;0;0;0,33;z_{q}=a\dot{\phi}/H;sem_tfidf
49;u^{\mu}=dx^{\mu}/d\tau;2;2;1;0;0;0;k^{\mu}=dx^{\mu}/dv;math2vec
50;\dot{\phi}=-W_{\phi};2;2;1;0;0;0;\dot{\chi}=-W_{\chi};math2vec
-;Mean;3,08;2,92;0,48;0,03;0,07;0,1;-;-
-;Total;-;-;0,71;0,04;0,11;0,15;-;-
